SOURCE: Data,METHODS:                  Sampling/Analysis,DATE (mm/dd/yyyy),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2 nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-3),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-3),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-3),Richelia Associated Species,Richelia nifH Gene (x106 copies m-3),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-3),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-3),Gamma 1 nifH Gene (x106 copies/m3),Gamma 2 nifH Gene (x106 copies/m3),Gamma 3 nifH Gene (x106 copies/m3),Gamma 4 nifH Gene (x106 copies/m3),Gamma nifH Gene (x106 copies/m3),alpha nifH Gene (x106 copies/m3),Beta nifH Gene (x106 copies/m3),CIII nifH Gene (x106 copies/m3),Total nifH Gene (x106 copies/m3),Total Diazotrophic Biomass (mg C m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),N:P ratio,Fe (nM),Chlorophyll  (mg m-3),Notes
,qPCR,2007-06-14,0.53,2.33,17,2.1000,0.3,0.630 ,,,5.9000,0.0002,0.0380,0.02,,,0.0019,,0.0000,0.01,Chaetoceros,0.0100,0.01,0.0001,,,,,,,,,,,26.90,34.70,,,,,,
,qPCR,2007-06-14,0.53,2.33,36,0.0120,0.3,0.004 ,,,0.0000,0.0002,0.0100,0.02,,,0.0002,,0.0000,0.01,,0.0000,0.01,0.0000,,,,,,,,,,,19.60,36.00,,,,,,
,qPCR,2007-06-15,3.52,2.33,1,46.0000,0.3,13.800 ,,,0.0000,0.0002,2.0000,0.02,,,0.0400,,0.0000,0.01,Chaetoceros,1.3000,0.01,0.0130,,,,,,,,,,,28.20,34.60,,,,,,
,qPCR,2007-06-15,3.52,2.33,20,2.1000,0.3,0.630 ,,,0.0100,0.0002,5.2000,0.02,,,0.1040,,0.0000,0.01,Chaetoceros,1.4000,0.01,0.0140,,,,,,,,,,,28.20,34.60,,,,,,
,qPCR,2007-06-15,3.52,2.33,39,6.7000,0.3,2.010 ,,,4.5000,0.0002,0.3300,0.02,,,0.0075,Rhizosolenia,0.0390,0.01,,0.0000,0.01,0.0004,,,,,,,,,,,25.40,35.90,,,,,,
,qPCR,2007-06-15,4.51,2.34,1,61.0000,0.3,18.300 ,,,0.0000,0.0002,3.2000,0.02,,,0.0640,Rhizosolenia,1.7000,0.01,Chaetoceros,1.4000,0.01,0.0310,,,,,,,,,,,27.80,34.60,,,,,,
,qPCR,2007-06-15,4.51,2.34,18,31.0000,0.3,9.300 ,,,0.0100,0.0002,0.9000,0.02,,,0.0180,Rhizosolenia,0.6000,0.01,,0.0000,0.01,0.0060,,,,,,,,,,,27.80,34.60,,,,,,
,qPCR,2008-07-14,24.51,-109.00,50,0.0350,0.3,0.011 ,,,0.0000,0.0002,0.0000,0.02,,,0.0000,Hemiaulus,1.1617,0.01,,,,0.0116,,,,,,,,,,,21.74,34.63,,,,,,
,qPCR,2008-07-14,24.51,-109.00,35,,,,,,0.0000,0.0002,1.0000,0.02,,,0.0200,"Rhizosolenia,Hemiaulus",1.4200,0.01,,,,0.0142,,,,,,,,,,,25.07,34.84,,,,,,
,qPCR,2008-07-14,24.51,-109.00,25,,,,,,0.0000,0.0002,1.0000,0.02,,,0.0200,,,,,,,,,,,,,,,,,,26.28,34.87,,,,,,
,qPCR,2008-07-14,24.51,-109.00,15,0.0000,0.3,0.000 ,,,0.0000,0.0002,1.0000,0.02,,,0.0200,"Rhizosolenia,Hemiaulus",1.7600,0.01,,,,0.0176,,,,,,,,,,,27.26,35.09,,,,,,
,qPCR,2008-07-14,24.51,-109.00,5,3.1300,0.3,0.939 ,,,0.0000,0.0002,1.0000,0.02,,,0.0200,"Rhizosolenia,Hemiaulus",12.0488,0.01,,,,0.1205,,,,,,,,,,,28.83,34.99,,,,,,
,qPCR,2008-07-14,24.51,-109.00,0,438.0000,0.3,131.400 ,,,0.0000,0.0002,1.0000,0.02,,,0.0200,"Rhizosolenia,Hemiaulus",9.6659,0.01,,,,0.0967,,,,,,,,,,,28.87,34.99,,,,,,
,qPCR,2008-07-18,20.55,-106.55,55,,,,,,0.0000,0.0002,0.0000,0.02,,,0.0000,"Rhizosolenia,Hemiaulus",1.5414,0.01,,,,0.0154,,,,,,,,,,,25.96,34.89,,,,,,
,qPCR,2008-07-18,20.55,-106.55,40,4.2100,0.3,1.263 ,,,0.0000,0.0002,1.0000,0.02,,,0.0200,,,,,,,,,,,,,,,,,,27.05,34.79,,,,,,
,qPCR,2008-07-18,20.55,-106.55,30,0.5330,0.3,0.160 ,,,0.0000,0.0002,1.0000,0.02,,,0.0200,Hemiaulus,0.1540,0.01,,,,0.0015,,,,,,,,,,,28.02,34.60,,,,,,
,qPCR,2008-07-18,20.55,-106.55,23,6.4500,0.3,1.935 ,,,0.0000,0.0002,0.0000,0.02,,,0.0000,,,,,,,,,,,,,,,,,,28.47,34.33,,,,,,
,qPCR,2008-07-18,20.55,-106.55,17,6.7600,0.3,2.028 ,,,0.0000,0.0002,0.0000,0.02,,,0.0000,Hemiaulus,1.0700,0.01,,,,0.0107,,,,,,,,,,,28.80,34.23,,,,,,
,qPCR,2008-07-18,20.55,-106.55,10,15.6000,0.3,4.680 ,,,0.0000,0.0002,0.0000,0.02,,,0.0000,,,,,,,,,,,,,,,,,,29.09,34.13,,,,,,
,qPCR,2008-07-18,20.55,-106.55,6,24.8000,0.3,7.440 ,,,0.0000,0.0002,0.0000,0.02,,,0.0000,,,,,,,,,,,,,,,,,,29.49,33.93,,,,,,
,qPCR,2008-07-12,26.51,-110.31,75,,,,,,,,1.0000,0.02,,,0.0200,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2008-07-12,26.51,-110.31,35,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0000,0.02,,,0.0000,Rhizosolenia,0.4060,0.01,,,,0.0041,,,,,,,,,,,18.67,34.70,,,,,,
,qPCR,2008-07-12,26.51,-110.31,25,6.2100,0.3,1.863 ,,,0.0000,0.0002,1.0000,0.02,,,0.0200,,,,,,,,,,,,,,,,,,24.54,35.15,,,,,,
,qPCR,2008-07-12,26.51,-110.31,15,,,,,,,,0.0000,0.02,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2008-07-12,26.51,-110.31,5,,,,,,0.0000,0.0002,0.0000,0.02,,,0.0000,Hemiaulus,0.0000,0.01,,,,0.0000,,,,,,,,,,,27.88,35.25,,,,,,
,qPCR,2008-07-12,26.51,-110.31,0,,,,,,0.0000,0.0002,0.0000,0.02,,,0.0000,Hemiaulus,1.0900,0.01,,,,0.0109,,,,,,,,,,,27.94,35.25,,,,,,
,qPCR,2008-07-15,24.51,-109.00,50,0.0000,0.3,0.000 ,,,,,0.0000,0.02,,,0.0000,"Rhizosolenia,Hemiaulus",0.3762,0.01,,,,0.0038,,,,,,,,,,,21.74,34.63,,,,,,
,qPCR,2008-07-15,24.51,-109.00,35,,,,,,,,0.0000,0.02,,,0.0000,Hemiaulus,1.1800,0.01,,,,0.0118,,,,,,,,,,,25.07,34.84,,,,,,
,qPCR,2008-07-15,24.51,-109.00,25,9.7500,0.3,2.925 ,,,,,0.0000,0.02,,,0.0000,"Rhizosolenia,Hemiaulus",21.4100,0.01,,,,0.2141,,,,,,,,,,,26.28,34.87,,,,,,
,qPCR,2008-07-15,24.51,-109.00,15,6.1800,0.3,1.854 ,,,,,0.0000,0.02,,,0.0000,"Rhizosolenia,Hemiaulus",12.2480,0.01,,,,0.1225,,,,,,,,,,,27.26,35.09,,,,,,
,qPCR,2008-07-15,24.51,-109.00,5,3.0000,0.3,0.900 ,,,,,0.0000,0.02,,,0.0000,"Rhizosolenia,Hemiaulus",18.7100,0.01,,,,0.1871,,,,,,,,,,,28.83,34.99,,,,,,
,qPCR,2008-07-15,24.51,-109.00,0,6.0300,0.3,1.809 ,,,,,0.0000,0.02,,,0.0000,"Rhizosolenia,Hemiaulus",6.6300,0.01,,,,0.0663,,,,,,,,,,,28.87,34.99,,,,,,
,qPCR,2009-08-10,21.00,115.00,0,4.9239,0.3,1.477 ,,,1.5531,0.0002,1.0789,0.02,,,0.0219,,,,,,,,,,,,,,,,,,28.20,33.51,0.000,0.010,0.00,,,"Sampling dates estimated, cruise in January 2010"
,qPCR,2009-08-10,21.00,115.00,25,14.2510,0.3,4.275 ,,,1.5531,0.0002,1.5531,0.02,,,0.0314,,,,,,,,,,,,,,,,,,28.20,33.56,0.000,0.030,0.00,,0.17,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-10,21.00,115.00,50,0.4083,0.3,0.122 ,,,0.0100,0.0002,0.0100,0.02,,,0.0002,,,,,,,,,,,,,,,,,,26.60,33.81,0.292,0.000,,,0.25,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-10,21.00,115.00,75,1.4616,0.3,0.438 ,,,0.0100,0.0002,0.0100,0.02,,,0.0002,,,,,,,,,,,,,,,,,,23.90,34.10,4.292,0.330,13.01,,0.51,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-10,21.00,115.00,100,,,,,,0.0100,0.0002,0.0100,0.02,,,0.0002,,,,,,,,,,,,,,,,,,,,,,,,0.30,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-10,21.00,115.00,125,,,,,,0.0100,0.0002,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-10,21.00,115.00,150,,,,,,0.0100,0.0002,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-15,19.80,116.00,0,6.2777,0.3,1.883 ,,,0.9555,0.0002,1.1464,0.02,,,0.0231,Rhizosolenia,1.7537,0.01,,,,0.0175,,,,,,,,,,,29.70,33.67,0.000,0.010,0.00,,0.12,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-15,19.80,116.00,25,9.8993,0.3,2.970 ,,,1.3755,0.0002,1.0153,0.02,,,0.0206,Rhizosolenia,2.1042,0.01,,,,0.0210,,,,,,,,,,,29.60,33.64,0.000,0.020,0.00,,0.11,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-15,19.80,116.00,50,29.5345,0.3,8.860 ,,,134.7939,0.0002,0.0100,0.02,,,0.0272,Rhizosolenia,3.2188,0.01,,,,0.0322,,,,,,,,,,,25.90,34.05,0.125,0.050,2.50,,0.30,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-15,19.80,116.00,75,1.8635,0.3,0.559 ,,,0.8462,0.0002,0.0100,0.02,,,0.0004,Rhizosolenia,0.0100,0.01,,,,0.0001,,,,,,,,,,,21.90,34.35,4.792,0.395,12.12,,0.23,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-15,19.80,116.00,100,1.3755,0.3,0.413 ,,,1.1464,0.0002,0.0100,0.02,,,0.0004,Rhizosolenia,0.0100,0.01,,,,0.0001,,,,,,,,,,,19.80,34.51,10.583,0.724,14.62,,0.09,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-15,19.80,116.00,125,0.0100,0.3,0.003 ,,,0.8992,0.0002,,,,,0.0002,,,,,,,,,,,,,,,,,,18.20,34.56,11.792,0.796,14.81,,0.06,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-15,19.80,116.00,150,32.3512,0.3,9.705 ,,,0.0100,0.0002,,,,,0.0000,,,,,,,,,,,,,,,,,,16.70,34.60,13.833,0.963,14.36,,0.02,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-20,18.70,117.30,0,12.6211,0.3,3.786 ,,,2.0412,0.0002,2.7654,0.02,,,0.0557,Rhizosolenia,0.7053,0.01,,,,0.0071,,,,,,,,,,,29.80,33.60,0.000,0.029,0.00,,0.06,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-20,18.70,117.30,25,19.3070,0.3,5.792 ,,,15.6101,0.0002,6.4713,0.02,,,0.1325,Rhizosolenia,1.4179,0.01,,,,0.0142,,,,,,,,,,,28.70,33.72,0.000,0.023,0.00,,0.20,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-20,18.70,117.30,50,0.5050,0.3,0.152 ,,,0.0100,0.0002,0.0100,0.02,,,0.0002,Rhizosolenia,0.0100,0.01,,,,0.0001,,,,,,,,,,,24.40,34.06,0.417,0.101,4.13,,0.19,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-20,18.70,117.30,75,0.0100,0.3,0.003 ,,,0.0100,0.0002,0.0100,0.02,,,0.0002,Rhizosolenia,0.4472,0.01,,,,0.0045,,,,,,,,,,,21.80,34.32,6.542,0.488,13.42,,0.41,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-20,18.70,117.30,100,0.0100,0.3,0.003 ,,,0.0100,0.0002,0.0100,0.02,,,0.0002,,,,,,,,,,,,,,,,,,20.10,34.46,9.917,0.718,13.81,,0.16,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-20,18.70,117.30,125,0.0100,0.3,0.003 ,,,0.0100,0.0002,,,,,0.0000,,,,,,,,,,,,,,,,,,18.40,34.52,11.625,1.050,11.07,,0.04,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-20,18.70,117.30,150,0.0100,0.3,0.003 ,,,0.0100,0.0002,,,,,0.0000,,,,,,,,,,,,,,,,,,16.70,34.57,16.458,1.139,14.44,,0.01,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-25,18.00,118.00,0,7.3070,0.3,2.192 ,,,0.7963,0.0002,5.0757,0.02,,,0.1017,Rhizosolenia,2.0412,0.01,,,,0.0204,,,,,,,,,,,28.70,33.39,0.000,0.020,0.00,,0.09,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-25,18.00,118.00,25,22.4723,0.3,6.742 ,,,0.2364,0.0002,3.4203,0.02,,,0.0685,Rhizosolenia,0.6059,0.01,,,,0.0061,,,,,,,,,,,28.60,33.40,0.000,0.023,0.00,,0.10,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-25,18.00,118.00,50,21.8003,0.3,6.540 ,,,0.0100,0.0002,0.0100,0.02,,,0.0002,Rhizosolenia,0.0100,0.01,,,,0.0001,,,,,,,,,,,27.80,33.53,0.125,0.046,2.71,,0.28,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-25,18.00,118.00,75,6.6708,0.3,2.001 ,,,0.0100,0.0002,0.0100,0.02,,,0.0002,Rhizosolenia,0.0100,0.01,,,,0.0001,,,,,,,,,,,23.50,34.14,0.208,0.141,1.47,,0.48,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-25,18.00,118.00,100,1095.3690,0.3,328.611 ,,,0.0100,0.0002,0.0100,0.02,,,0.0002,Rhizosolenia,0.0100,0.01,,,,0.0001,,,,,,,,,,,21.10,34.32,11.583,0.802,14.44,,0.10,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-25,18.00,118.00,125,134.7939,0.3,40.438 ,,,0.0100,0.0002,,,,,0.0000,,,,,,,,,,,,,,,,,,19.30,34.46,12.750,0.874,14.59,,0.16,"Sampling dates estimated, cruise in August 2009"
,qPCR,2009-08-25,18.00,118.00,150,119.3777,0.3,35.813 ,,,0.0100,0.0002,,,,,0.0000,,,,,,,,,,,,,,,,,,17.30,34.56,15.208,1.038,14.65,,0.02,"Sampling dates estimated, cruise in August 2009"
,qPCR,2002-10-16,11.00,-56.64,5,1.1542,0.3,0.346 ,,,0.7993,0.0002,0.0000,0.02,0.0000,0.01,0.0002,,,,,,,,,,,,,,,,,,28.65,35.01,0.000,0.020,0.00,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-16,11.00,-56.64,80,0.6960,0.3,0.209 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,22.96,35.63,2.350,0.130,18.08,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-16,11.00,-55.58,5,1.2985,0.3,0.390 ,,,0.0000,0.0002,0.0000,0.02,1.2520,0.01,0.0125,,,,,,,,,,,,,,,,,,28.85,35.44,0.070,0.020,3.50,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-16,11.00,-55.58,80,0.0000,0.3,0.000 ,,,61.7131,0.0002,0.0000,0.02,0.0000,0.01,0.0123,,,,,,,,,,,,,,,,,,25.22,36.65,0.610,0.030,20.33,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-17,10.55,-53.73,5,66.9101,0.3,20.073 ,,,0.0000,0.0002,0.0000,0.02,10.1915,0.01,0.1019,,,,,,,,,,,,,,,,,,28.49,35.14,0.030,0.020,1.50,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-17,10.55,-53.73,80,0.0000,0.3,0.000 ,,,0.4263,0.0002,0.0000,0.02,0.0000,0.01,0.0001,,,,,,,,,,,,,,,,,,24.63,37.23,0.040,0.010,4.00,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-18,10.00,-51.41,5,452.6267,0.3,135.788 ,,,0.3383,0.0002,0.0000,0.02,4.2223,0.01,0.0423,,,,,,,,,,,,,,,,,,28.49,31.15,0.040,0.050,0.80,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-18,10.00,-51.41,60,0.5502,0.3,0.165 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,25.04,36.42,0.530,0.030,17.67,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-18,10.00,-50.12,5,4.7018,0.3,1.411 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,29.00,31.25,0.050,0.040,1.25,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-19,10.00,-48.06,5,1.1725,0.3,0.352 ,,,0.0000,0.0002,0.0000,0.02,6.9454,0.01,0.0695,,,,,,,,,,,,,,,,,,29.07,33.03,0.030,0.040,0.75,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-20,10.00,-43.76,5,0.3213,0.3,0.096 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,28.68,35.22,0.040,0.030,1.33,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-20,10.00,-43.76,50,0.2299,0.3,0.069 ,,,0.5827,0.0002,0.0000,0.02,0.0000,0.01,0.0001,,,,,,,,,,,,,,,,,,24.49,36.29,0.490,0.050,9.80,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-21,10.00,-40.77,5,1.0729,0.3,0.322 ,,,0.4650,0.0002,0.0000,0.02,0.0000,0.01,0.0001,,,,,,,,,,,,,,,,,,28.32,34.89,0.010,0.000,,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-21,10.00,-40.77,40,0.0000,0.3,0.000 ,,,0.3060,0.0002,0.0000,0.02,0.0000,0.01,0.0001,,,,,,,,,,,,,,,,,,25.37,35.83,0.040,0.040,1.00,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-22,10.00,-39.00,5,8.4230,0.3,2.527 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,28.34,35.12,0.010,0.020,0.50,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-22,10.00,-39.00,60,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,19.88,36.01,10.540,0.620,17.00,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-23,10.00,-36.23,5,1.5552,0.3,0.467 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,27.99,35.62,0.010,0.020,0.50,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-23,10.00,-36.23,60,0.3784,0.3,0.114 ,,,0.1260,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,18.25,36.08,13.540,0.760,17.82,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-23,10.00,-35.19,5,698.1200,0.3,209.436 ,,,0.8800,0.0002,0.7013,0.02,5.8160,0.01,0.0724,,,,,,,,,,,,,,,,,,28.27,34.88,0.060,0.010,6.00,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-24,10.00,-33.40,5,1048.8257,0.3,314.648 ,,,0.7990,0.0002,0.0000,0.02,0.0000,0.01,0.0002,,,,,,,,,,,,,,,,,,27.64,35.80,0.040,0.000,,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-24,10.00,-33.40,40,1.8582,0.3,0.557 ,,,0.1978,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,18.86,35.84,11.390,0.710,16.04,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-24,10.00,-32.15,5,1.7513,0.3,0.525 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,28.02,35.40,0.030,0.020,1.50,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-25,10.00,-30.28,5,1.3669,0.3,0.410 ,,,11.4733,0.0002,0.0000,0.02,1.3101,0.01,0.0154,,,,,,,,,,,,,,,,,,27.88,35.41,0.530,0.020,26.50,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-25,10.00,-30.28,60,0.0000,0.3,0.000 ,,,0.1120,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,15.97,35.58,21.890,1.310,16.71,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-26,10.00,-27.56,5,1.0600,0.3,0.318 ,,,0.0000,0.0002,0.0000,0.02,1.6167,0.01,0.0162,,,,,,,,,,,,,,,,,,28.24,35.97,0.030,0.010,3.00,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-26,10.00,-27.56,60,0.1393,0.3,0.042 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,14.31,35.42,25.010,1.460,17.13,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-29,0.00,-26.00,5,0.1093,0.3,0.033 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,26.20,36.07,0.010,0.080,0.13,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-29,0.00,-26.00,80,0.1427,0.3,0.043 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,23.07,35.93,6.050,0.390,15.51,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-29,0.00,-24.94,5,0.0933,0.3,0.028 ,,,0.3347,0.0002,0.0000,0.02,0.0000,0.01,0.0001,,,,,,,,,,,,,,,,,,26.50,35.99,0.010,0.020,0.50,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-29,0.00,-24.94,60,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,25.61,36.05,1.480,0.220,6.73,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-30,0.00,-23.50,5,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,26.33,35.81,0.020,0.050,0.40,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
,qPCR,2002-10-30,0.00,-23.50,60,0.0753,0.3,0.023 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,23.34,35.93,4.340,0.300,14.47,,,"In addition to Trichodesmium and unicellular group A,B and C, heterotrophic diazotrophic Gamma A and P and  green-sulfur bacterium Clll also counted and listed in the next columns"
