LATITUDE,LONGITUDE,Trichodesmium nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-B nifH Gene (x106 copies m-3),DEPTH (m)
25,120,0.06,0.0,0.0,5.0
25,120,0.07,0.0,0.0,5.0
25,119,0.07,0.01,0.0,5.0
25,119,0.12,0.0,0.0,5.0
24,119,0.0,0.0,0.0,5.0
22,119,0.0,0.0,0.0,5.0
21,118,3.59,0.0,0.0,5.0
21,118,1.75,0.0,0.0,5.0
22,117,0.0,0.0,0.0,5.0
22,118,0.0,0.0,0.0,5.0
23,118,0.0,0.0,0.0,5.0
22,118,0.0,0.0,0.0,5.0
-22,166,0.0,0.95,0.0,3.0
-22,166,0.0,4.77,0.0,3.0
-22,166,0.0,4.15,0.0,3.0
-22,166,0.0,5.52,0.0,3.0
-22,166,0.0,0.03,0.0,3.0
-22,166,0.0,0.0,0.0,3.0
-22,166,0.0,0.04,0.0,3.0
-22,166,0.0,0.07,0.0,3.0
-22,166,0.0,0.0,0.0,3.0
-22,166,0.0,2.22,0.0,3.0
-22,166,0.0,11.44,0.0,3.0
-22,166,0.0,44.8,0.0,3.0
-22,166,0.0,0.43,0.0,3.0
-22,166,0.0,0.22,0.0,3.0
-22,166,0.0,0.08,0.0,3.0
-22,166,0.0,0.07,0.0,3.0
-22,166,0.0,0.03,0.0,3.0
-22,166,0.0,0.42,0.0,3.0
-22,166,0.0,52.31,0.0,3.0
-22,166,0.0,64.65,0.0,3.0
-22,166,0.0,579.47,0.0,3.0
-22,166,0.0,51.47,0.0,3.0
-22,166,0.0,225.83,0.0,3.0
-22,166,0.0,0.53,0.0,3.0
-22,166,0.0,10.62,0.0,3.0
-22,166,0.0,0.0,0.0,3.0
-22,166,0.0,0.44,0.0,3.0
-22,166,0.0,127.26,0.0,3.0
-22,166,0.0,214.25,0.0,3.0
